name: 5df9ce68-9530-437c-b742-418db35f1dea num_items: 0
token, class_id, token_value, token_tf, token_df
виновный_наказывать, @default_class, 0.0, 4.0, 1.0
крошечный, @default_class, 0.0, 2.0, 2.0
деваться_никуда, @default_class, 0.0, 1.0, 1.0
осложняться_то, @default_class, 0.0, 4.0, 1.0
партизан, @default_class, 0.125, 8.0, 7.0
еирц, @default_class, 0.0, 2.0, 1.0
преображенка, @default_class, 0.0, 6.0, 5.0
почистить, @default_class, 0.0, 5.0, 2.0
повеселить, @default_class, 0.0, 7.0, 2.0
невозмутимый, @default_class, 0.0, 7.0, 6.0
курсовой_разница, @default_class, 0.0, 2.0, 2.0
изощренный, @default_class, 0.0, 4.0, 2.0
интеграция, @default_class, 0.0, 2.0, 1.0
клиент_почетный, @default_class, 0.0, 1.0, 1.0
неразрешенный_овердрафт, @default_class, 0.0, 4.0, 1.0
отбраковывать, @default_class, 0.0, 38.0, 9.0
взгляд_мой, @default_class, 0.0, 1.0, 1.0
волшебник, @default_class, 0.0, 3.0, 2.0
письменный_претензия, @default_class, 0.0, 2.0, 2.0
приватбанк, @default_class, 0.0, 7.0, 6.0
почтовый_ящик, @default_class, 0.0, 1.0, 1.0
неприятно_удивлять, @default_class, 0.0, 4.0, 4.0
партна_ров, @default_class, 0.0, 4.0, 3.0
минутный_ожидание, @default_class, 0.0, 2.0, 2.0
пвн, @default_class, 0.0, 7.0, 4.0
внеочередной, @default_class, 0.0, 6.0, 5.0
мексика, @default_class, 0.0, 8.0, 5.0
неудачный_попытка, @default_class, 0.0, 1.0, 1.0
восстание, @default_class, 0.0, 1.0, 1.0
танк, @default_class, 0.0, 7.0, 4.0
мой_семья, @default_class, 0.0, 2.0, 2.0
авторизованный, @default_class, 0.0, 2.0, 2.0
жалость, @default_class, 0.0, 4.0, 4.0
брачный, @default_class, 0.0, 10.0, 4.0
неясность, @default_class, 0.0, 6.0, 4.0
совершенствовать, @default_class, 0.0, 16.0, 4.0
крохотный, @default_class, 0.0, 6.0, 2.0
руссколлектор, @default_class, 0.0, 3.0, 2.0
номос, @default_class, 0.0, 13.0, 6.0
рсхб, @default_class, 0.0, 21.0, 2.0
руководство_уважать, @default_class, 0.0, 1.0, 1.0
гривна, @default_class, 0.0, 3.0, 3.0
рдуй, @default_class, 0.0, 6.0, 5.0
разрешение_скорый, @default_class, 0.0, 3.0, 3.0
вздох, @default_class, 0.0, 7.0, 6.0
отдельный_песня, @default_class, 0.0, 3.0, 3.0
иллюстрировать, @default_class, 0.0, 34.0, 12.0
бат, @default_class, 0.0, 8.0, 3.0
устный_форма, @default_class, 0.0, 3.0, 3.0
усмешка, @default_class, 0.0, 7.0, 5.0
сниться, @default_class, 0.0, 25.0, 6.0
музыкальный, @default_class, 0.0, 3.0, 3.0
авторизационный, @default_class, 0.0, 6.0, 4.0
жетон, @default_class, 0.0, 4.0, 4.0
мой_просьба, @default_class, 0.0, 1.0, 1.0
или, @default_class, 0.0, 1.0, 1.0
причина_технический, @default_class, 0.0, 4.0, 2.0
ахти, @default_class, -0.333333343267, 35.0, 7.0
медиа, @default_class, 0.0, 1.0, 1.0
ртк, @default_class, 0.0, 1.0, 1.0
виза_голд, @default_class, 0.0, 4.0, 4.0
отсоветовать, @default_class, 0.0, 6.0, 4.0
регистратор, @default_class, 0.0, 7.0, 6.0
ехидно, @default_class, 0.0, 10.0, 6.0
от, @default_class, 0.0, 3.0, 2.0
рассуждение, @default_class, 0.0, 14.0, 7.0
кружка, @default_class, 0.0, 7.0, 7.0
жск, @default_class, 0.0, 17.0, 6.0
порочный, @default_class, -0.5, 6.0, 6.0
авиалиния, @default_class, 0.0, 16.0, 7.0
увидеться, @default_class, 0.0, 9.0, 4.0
сладко, @default_class, 0.0, 5.0, 4.0
о, @default_class, 0.0, 5.0, 1.0
уплывать, @default_class, 0.0, 37.0, 7.0
собес, @default_class, 0.0, 4.0, 2.0
горько, @default_class, 0.0, 4.0, 2.0
взлом, @default_class, -0.300000011921, 27.0, 11.0
лестничный, @default_class, 0.0, 4.0, 3.0
ведомый, @default_class, 0.0, 4.0, 4.0
кс, @default_class, 0.0, 6.0, 3.0
выхватывать, @default_class, 0.0, 12.0, 4.0
полнота, @default_class, 0.0, 14.0, 8.0
валютный_контроль, @default_class, 0.0, 4.0, 4.0
дырявый, @default_class, 0.0, 3.0, 3.0
убывать, @default_class, 0.0, 17.0, 9.0
нетипичный, @default_class, 0.0, 4.0, 4.0
потрясающе, @default_class, 0.0, 5.0, 5.0
время_сутки, @default_class, 0.0, 8.0, 4.0
непоступление, @default_class, 0.0, 13.0, 10.0
лошадь, @default_class, 0.0, 3.0, 2.0
ужели, @default_class, 0.0, 10.0, 2.0
ласковый, @default_class, 0.0, 8.0, 4.0
потрясающий, @default_class, 0.0, 1.0, 1.0
официальный_сайт, @default_class, 0.0, 1.0, 1.0
перекупать, @default_class, 0.0, 35.0, 6.0
финансист, @default_class, 0.0, 9.0, 5.0
обладатель_счастливый, @default_class, 0.0, 3.0, 2.0
известность_ставить, @default_class, 0.0, 6.0, 4.0
апрельский, @default_class, 0.0, 5.0, 5.0
облизывать, @default_class, 0.0, 21.0, 6.0
раздача, @default_class, 0.0, 8.0, 7.0
стерпеть, @default_class, 0.0, 11.0, 4.0
мой_родственник, @default_class, 0.0, 4.0, 4.0
лицевой_счет, @default_class, 0.0, 4.0, 3.0
дева, @default_class, 0.0, 4.0, 3.0
рваный, @default_class, 0.0, 4.0, 4.0
компенсационный, @default_class, 0.0, 2.0, 1.0
употреблять, @default_class, 0.0, 28.0, 10.0
раздражительный, @default_class, 0.0, 5.0, 2.0
личность_удостоверение, @default_class, 0.0, 9.0, 7.0
арх, @default_class, 0.0, 4.0, 3.0
орган_правоохранительный, @default_class, 0.0, 2.0, 2.0
прикручивать, @default_class, 0.0, 34.0, 6.0
сумочка, @default_class, 0.0, 6.0, 4.0
зач, @default_class, 0.0, 3.0, 2.0
граничить, @default_class, 0.0, 16.0, 5.0
дубна, @default_class, 0.0, 7.0, 4.0
пи, @default_class, 0.0, 6.0, 3.0
мысль_наводить, @default_class, 0.0, 41.0, 8.0
мособлбанка, @default_class, 0.0, 1.0, 1.0
сбол, @default_class, 0.0, 2.0, 2.0
выписывать_ордер, @default_class, 0.0, 19.0, 6.0
подобно, @default_class, 0.0, 1.0, 1.0
погуглить, @default_class, 0.0, 13.0, 7.0
раскидывать, @default_class, 0.0, 117.0, 15.0
непогашение, @default_class, 0.0, 5.0, 5.0
связь_сотовый, @default_class, 0.0, 3.0, 2.0
просить_прощение, @default_class, 0.0, 3.0, 2.0
нападение, @default_class, 0.0, 1.0, 1.0
верифицировать, @default_class, 0.0, 10.0, 5.0
должный_стать, @default_class, 0.0, 2.0, 2.0
креативный, @default_class, 0.0, 2.0, 2.0
досрочный_частично, @default_class, 0.0, 1.0, 1.0
участливый, @default_class, 0.0, 15.0, 10.0
поживать, @default_class, 0.0, 12.0, 6.0
телеграмма, @default_class, 0.0, 6.0, 4.0
добросовестный_плательщик, @default_class, 0.0, 2.0, 2.0
оба, @default_class, 0.0, 3.0, 1.0
балаково, @default_class, 0.0, 10.0, 7.0
сумма_энный, @default_class, 0.0, 1.0, 1.0
достоверно, @default_class, 0.0, 6.0, 5.0
общегражданский, @default_class, 0.0, 11.0, 9.0
ноу, @default_class, 0.0, 20.0, 5.0
потерпевший, @default_class, 0.0, 22.0, 7.0
обстоятельство_стечение, @default_class, 0.0, 3.0, 2.0
аа, @default_class, 0.0, 6.0, 3.0
минималка, @default_class, 0.0, 4.0, 4.0
мбрр, @default_class, 0.0, 2.0, 2.0
станица, @default_class, 0.0, 1.0, 1.0
тон_хамский, @default_class, 0.0, 3.0, 3.0
космос, @default_class, 0.0, 6.0, 4.0
неразборчиво, @default_class, 0.0, 12.0, 9.0
пойти_уступка, @default_class, 0.0, 1.0, 1.0
дресс, @default_class, 0.0, 6.0, 5.0
промсвязьбанка, @default_class, 0.0, 3.0, 3.0
ярцевский, @default_class, 0.0, 2.0, 1.0
кучка, @default_class, -0.375, 14.0, 8.0
выпучивать, @default_class, 0.0, 6.0, 3.0
попытать_счастие, @default_class, 0.0, 1.0, 1.0
похоронить, @default_class, 0.0, 18.0, 3.0
чехарда, @default_class, 0.0, 6.0, 4.0
сравнимый, @default_class, 0.0, 40.0, 7.0
долговременный, @default_class, 0.0, 8.0, 4.0
ленинский_пр, @default_class, 0.0, 1.0, 1.0
вывод_напрашиваться, @default_class, 0.0, 3.0, 1.0
досчитываться, @default_class, 0.0, 23.0, 6.0
греция, @default_class, 0.0, 7.0, 5.0
вред_причинять, @default_class, 0.0, 6.0, 3.0
гражданский_право, @default_class, 0.0, 1.0, 1.0
овд, @default_class, 0.0, 29.0, 19.0
ляп, @default_class, 0.0, 15.0, 10.0
таймаут, @default_class, 0.0, 4.0, 3.0
чур, @default_class, 0.0, 5.0, 3.0
рапид, @default_class, 0.0, 4.0, 2.0
пахать, @default_class, -0.25, 28.0, 7.0
загс, @default_class, 0.0, 3.0, 3.0
писулька, @default_class, 0.0, 2.0, 1.0
лихой, @default_class, 0.0, 5.0, 5.0
слышный, @default_class, 0.0, 16.0, 6.0
капля_последний, @default_class, 0.0, 4.0, 3.0
кредитчик, @default_class, 0.0, 8.0, 6.0
согражданин, @default_class, 0.0, 10.0, 8.0
братск, @default_class, 0.0, 5.0, 4.0
паренек, @default_class, 0.0, 7.0, 4.0
наказываться_размер, @default_class, 0.0, 10.0, 1.0
высокий_профессионализм, @default_class, 0.0, 2.0, 2.0
вывать, @default_class, 0.0, 39.0, 8.0
засекречивать, @default_class, 0.0, 19.0, 6.0
ввязываться, @default_class, 0.0, 11.0, 5.0
дисконтный, @default_class, 0.0, 6.0, 5.0
шоппинг, @default_class, 0.0, 1.0, 1.0
жужжать, @default_class, -0.375, 41.0, 10.0
присылаться, @default_class, 0.0, 20.0, 5.0
виза_классик, @default_class, 0.0, 7.0, 6.0
внук, @default_class, 0.0, 5.0, 5.0
кодовый_слово, @default_class, 0.0, 3.0, 2.0
сдыхать, @default_class, 0.0, 13.0, 3.0
клиенториентированность, @default_class, 0.0, 5.0, 5.0
конверт_пин, @default_class, 0.0, 11.0, 3.0
неснижать_остаток, @default_class, 0.0, 2.0, 2.0
автоцентр, @default_class, 0.0, 9.0, 5.0
невообразимый, @default_class, 0.0, 9.0, 9.0
хард, @default_class, 0.0, 2.0, 2.0
погонять, @default_class, 0.0, 20.0, 5.0
мой_обращение, @default_class, 0.0, 3.0, 3.0
сок, @default_class, 0.0, 13.0, 6.0
красочно, @default_class, 0.0, 4.0, 4.0
скудный, @default_class, 0.0, 6.0, 5.0
преспокойно, @default_class, 0.0, 3.0, 3.0
всовывать, @default_class, 0.0, 20.0, 6.0
арендатор, @default_class, 0.0, 5.0, 5.0
испытательный, @default_class, 0.0, 5.0, 5.0
образовательный, @default_class, 0.0, 3.0, 3.0
крикнуть, @default_class, 0.0, 26.0, 8.0
убираться, @default_class, -0.166666671634, 28.0, 9.0
ксерить, @default_class, 0.0, 35.0, 11.0
мелочиться, @default_class, 0.0, 3.0, 3.0
отделка, @default_class, 0.0, 14.0, 10.0
апелляция, @default_class, 0.0, 11.0, 8.0
должностной_лицо, @default_class, 0.0, 1.0, 1.0
годность, @default_class, 0.0, 13.0, 13.0
краснопресненский, @default_class, 0.0, 35.0, 23.0
замерзать, @default_class, 0.0, 20.0, 3.0
недобровольный, @default_class, 0.0, 1.0, 1.0
иностранец, @default_class, 0.0, 31.0, 13.0
весь_практически, @default_class, 0.0, 1.0, 1.0
красавец, @default_class, 0.0, 4.0, 3.0
катастрофа, @default_class, -0.333333343267, 13.0, 5.0
красногвардейский, @default_class, 0.0, 3.0, 3.0
нераспознанный, @default_class, 0.0, 11.0, 10.0
комнатка, @default_class, 0.0, 16.0, 7.0
воздействовать, @default_class, 0.0, 13.0, 5.0
прага, @default_class, 0.0, 9.0, 6.0
филькин, @default_class, 0.0, 19.0, 13.0
фу, @default_class, -0.5, 13.0, 7.0
пожалуйста_уточнять, @default_class, 0.0, 2.0, 2.0
ветхий, @default_class, 0.0, 10.0, 3.0
парочка, @default_class, 0.0, 15.0, 12.0
морозить, @default_class, 0.0, 7.0, 2.0
прельщать, @default_class, 0.0, 19.0, 6.0
мастеркарт, @default_class, 0.0, 5.0, 3.0
нередко, @default_class, 0.0, 8.0, 8.0
рог, @default_class, 0.0, 6.0, 6.0
неактивированный, @default_class, 0.0, 4.0, 4.0
голубь, @default_class, 0.0, 8.0, 7.0
реал, @default_class, 0.0, 5.0, 4.0
ржать, @default_class, 0.0, 9.0, 4.0
щель, @default_class, 0.0, 23.0, 14.0
недодавать, @default_class, 0.0, 21.0, 7.0
нате, @default_class, 0.0, 4.0, 4.0
выступать_поручитель, @default_class, 0.0, 5.0, 3.0
кинуться, @default_class, 0.0, 36.0, 6.0
поторопить, @default_class, 0.0, 7.0, 5.0
биржевой, @default_class, 0.0, 6.0, 4.0
ааа, @default_class, 0.0, 14.0, 8.0
перекур, @default_class, 0.0, 5.0, 4.0
укладывать, @default_class, -0.0833333358169, 17.0, 7.0
отстаивание, @default_class, 0.0, 7.0, 5.0
неумение, @default_class, -0.333333343267, 43.0, 12.0
жная, @default_class, 0.0, 5.0, 4.0
тестировать, @default_class, 0.0, 27.0, 9.0
перевешивать, @default_class, 0.0, 27.0, 7.0
взаимодействие_взаимодействие, @default_class, 0.0, 44.0, 3.0
убийственный, @default_class, -0.375, 11.0, 9.0
поручаться, @default_class, 0.0, 22.0, 5.0
подработка, @default_class, 0.0, 13.0, 9.0
обработка_прекращать, @default_class, 0.0, 6.0, 3.0
вяло, @default_class, 0.0, 10.0, 7.0
безлимитный, @default_class, 0.0, 4.0, 4.0
допсоглашение, @default_class, 0.0, 9.0, 5.0
купон, @default_class, 0.0, 11.0, 4.0
выгода_упускать, @default_class, 0.0, 2.0, 2.0
подушка, @default_class, 0.0, 15.0, 8.0
факсимильный, @default_class, 0.0, 2.0, 2.0
визовый, @default_class, 0.0, 9.0, 5.0
конец_провод, @default_class, 0.0, 3.0, 2.0
поскольку, @default_class, 0.0, 5.0, 5.0
мыть, @default_class, 0.0, 2.0, 2.0
хлесткий, @default_class, 0.0, 5.0, 4.0
наставник, @default_class, 0.0, 5.0, 5.0
данные_разглашать, @default_class, 0.0, 6.0, 5.0
благотворительный, @default_class, 0.166666671634, 6.0, 6.0
редактирование, @default_class, 0.0, 10.0, 5.0
майл, @default_class, 0.0, 14.0, 10.0
санаторий, @default_class, 0.0, 2.0, 2.0
непринятый, @default_class, 0.0, 3.0, 3.0
юань, @default_class, 0.0, 11.0, 5.0
осведомленность, @default_class, 0.0, 12.0, 6.0
представительница, @default_class, 0.0, 6.0, 5.0
сентинел, @default_class, 0.0, 13.0, 2.0
ову, @default_class, 0.0, 6.0, 6.0
авторитетный, @default_class, 0.625, 12.0, 8.0
бэйджик, @default_class, 0.0, 5.0, 5.0
карта_сей, @default_class, 0.0, 1.0, 1.0
проговариваться, @default_class, 0.0, 44.0, 9.0
оптимизм, @default_class, 0.333333343267, 18.0, 8.0
список_черный, @default_class, 0.0, 1.0, 1.0
заявление_письменный, @default_class, 0.0, 2.0, 2.0
сознательный, @default_class, 0.0, 13.0, 13.0
чета, @default_class, 0.0, 13.0, 3.0
защищенность, @default_class, 0.0, 24.0, 10.0
влечь_наложение, @default_class, 0.0, 9.0, 2.0
предусмотрительный, @default_class, 0.0, 15.0, 10.0
осуждать, @default_class, -0.333333343267, 18.0, 8.0
окато, @default_class, 0.0, 4.0, 3.0
метро_станция, @default_class, 0.0, 3.0, 3.0
прибор, @default_class, 0.0, 7.0, 5.0
консультационный, @default_class, 0.0, 6.0, 5.0
самопроизвольно, @default_class, 0.0, 8.0, 7.0
нагружать, @default_class, 0.0, 27.0, 11.0
требовать_удалять, @default_class, 0.0, 32.0, 8.0
выступление, @default_class, 0.0, 14.0, 6.0
тезис, @default_class, 0.0, 10.0, 6.0
дырка, @default_class, -0.142857149243, 7.0, 6.0
справочка, @default_class, 0.0, 33.0, 17.0
украина, @default_class, 0.0, 50.0, 18.0
методично, @default_class, 0.0, 4.0, 4.0
турникет, @default_class, 0.0, 1.0, 1.0
зарплатной_проект, @default_class, 0.0, 2.0, 2.0
помесячно, @default_class, 0.0, 5.0, 4.0
неразглашение, @default_class, 0.0, 8.0, 5.0
вторгаться, @default_class, 0.0, 22.0, 5.0
невоспитанный, @default_class, -0.666666686535, 6.0, 6.0
спасский, @default_class, 0.0, 5.0, 4.0
ребеночек, @default_class, 0.0, 1.0, 1.0
насчитываться, @default_class, 0.0, 18.0, 5.0
мда, @default_class, 0.0, 10.0, 10.0
подлость, @default_class, 0.0, 11.0, 7.0
плод, @default_class, 0.0, 12.0, 7.0
пензенский, @default_class, 0.0, 9.0, 8.0
сконвертировать, @default_class, 0.0, 78.0, 21.0
малость, @default_class, -0.125, 13.0, 9.0
возмущенно, @default_class, 0.0, 4.0, 4.0
рэ, @default_class, 0.0, 26.0, 12.0
махнуть, @default_class, 0.0, 52.0, 13.0
заказной_письмо, @default_class, 0.0, 4.0, 3.0
скучающий, @default_class, 0.0, 8.0, 7.0
грудь, @default_class, 0.0, 24.0, 12.0
урал, @default_class, 0.0, 13.0, 6.0
азия, @default_class, 0.0, 8.0, 6.0
волшебство, @default_class, 0.0, 10.0, 4.0
ргс, @default_class, 0.0, 3.0, 2.0
скрепить, @default_class, 0.0, 8.0, 8.0
новороссийский, @default_class, 0.0, 11.0, 9.0
задержание, @default_class, 0.0, 3.0, 3.0
запрещаться_обуславливать, @default_class, 0.0, 4.0, 1.0
кавказский, @default_class, 0.0, 7.0, 7.0
оное, @default_class, 0.0, 14.0, 14.0
узаконивать, @default_class, 0.0, 27.0, 8.0
спихивать, @default_class, 0.0, 15.0, 4.0
всеравный, @default_class, 0.0, 1.0, 1.0
арест_наложение, @default_class, 0.0, 9.0, 6.0
новочеркасский, @default_class, 0.0, 4.0, 3.0
соблаговолять, @default_class, 0.0, 33.0, 10.0
альтернативный_вариант, @default_class, 0.0, 1.0, 1.0
завод, @default_class, 0.0, 40.0, 27.0
механический, @default_class, 0.166666671634, 7.0, 7.0
приподымать, @default_class, 0.0, 4.0, 3.0
удовлетворяться, @default_class, 0.0, 35.0, 12.0
угу, @default_class, 0.0, 5.0, 5.0
сэб, @default_class, 0.0, 3.0, 2.0
высокотехнологичный, @default_class, 0.0, 10.0, 7.0
втягивать, @default_class, 0.0, 34.0, 7.0
росгосстрах, @default_class, 0.0, 21.0, 10.0
спокойненький, @default_class, 0.0, 4.0, 4.0
платежный_поручение, @default_class, 0.0, 5.0, 5.0
здешний, @default_class, 0.0, 4.0, 4.0
жизнерадостный, @default_class, 0.0, 5.0, 5.0
обстоятельно, @default_class, 0.0, 9.0, 9.0
стоя, @default_class, 0.0, 16.0, 2.0
обоснованно, @default_class, 0.0, 22.0, 12.0
трезвонить, @default_class, 0.0, 16.0, 4.0
неэтичный, @default_class, -0.333333343267, 19.0, 8.0
допкарта, @default_class, 0.0, 15.0, 7.0
пространный, @default_class, -0.333333343267, 11.0, 10.0
як, @default_class, 0.0, 23.0, 5.0
смехотворный, @default_class, 0.0, 5.0, 5.0
коллекторный, @default_class, 0.0, 6.0, 5.0
сс, @default_class, 0.0, 1.0, 1.0
бердск, @default_class, 0.0, 10.0, 6.0
чепуха, @default_class, 0.0, 5.0, 4.0
отслеживаться, @default_class, 0.0, 24.0, 6.0
телекоммуникационный, @default_class, 0.0, 4.0, 4.0
договор_перезаключать, @default_class, 0.0, 22.0, 9.0
гениально, @default_class, 0.0, 1.0, 1.0
чешский, @default_class, 0.0, 6.0, 5.0
аудит, @default_class, 0.0, 5.0, 3.0
рим, @default_class, 0.0, 7.0, 4.0
молиться, @default_class, 0.166666671634, 12.0, 6.0
выражать_хотеться, @default_class, 0.0, 15.0, 2.0
беспорядок, @default_class, -0.5, 11.0, 9.0
подносить, @default_class, 0.0, 30.0, 9.0
факс, @default_class, 0.0, 69.0, 28.0
дык, @default_class, 0.0, 3.0, 3.0
конституция_рф, @default_class, 0.0, 1.0, 1.0
шар, @default_class, 0.0, 7.0, 4.0
прощание, @default_class, 0.0, 11.0, 10.0
три, @default_class, 0.0, 2.0, 2.0
свободный_форма, @default_class, 0.0, 1.0, 1.0
подружка, @default_class, 0.0, 20.0, 4.0
эконом, @default_class, 0.0, 3.0, 3.0
одеваться, @default_class, 0.0, 13.0, 6.0
замучать, @default_class, 0.0, 24.0, 6.0
предугадывать, @default_class, 0.0, 9.0, 4.0
родить, @default_class, 0.0, 6.0, 2.0
фрс, @default_class, -0.166666671634, 17.0, 7.0
полицейский, @default_class, 0.0, 11.0, 9.0
безграничный, @default_class, 0.166666671634, 12.0, 8.0
дружественный, @default_class, 0.166666671634, 20.0, 14.0
гпб, @default_class, 0.0, 5.0, 1.0
придирчивый, @default_class, 0.0, 7.0, 7.0
возмездный, @default_class, 0.0, 3.0, 3.0
коммерческий_тайна, @default_class, 0.0, 2.0, 2.0
перепалка, @default_class, 0.0, 11.0, 7.0
огонь, @default_class, 0.0, 14.0, 13.0
распространение_сведение, @default_class, 0.0, 24.0, 3.0
молодость, @default_class, 0.0, 13.0, 8.0
анапа, @default_class, 0.0, 10.0, 6.0
пробежаться, @default_class, 0.0, 25.0, 7.0
цепь, @default_class, 0.0, 5.0, 4.0
королевский, @default_class, 0.0, 17.0, 14.0
головной_офис, @default_class, 0.0, 1.0, 1.0
гуп, @default_class, 0.0, 4.0, 3.0
выскочить, @default_class, 0.0, 35.0, 13.0
двоякий, @default_class, 0.0, 12.0, 10.0
нравиться_очень, @default_class, 0.0, 3.0, 3.0
новокузнецкий, @default_class, 0.0, 1.0, 1.0
эмиссия, @default_class, 0.0, 17.0, 6.0
впаивать, @default_class, 0.0, 11.0, 4.0
обсчитывать, @default_class, 0.0, 22.0, 9.0
шестизначный, @default_class, 0.0, 14.0, 11.0
закатывать, @default_class, 0.0, 17.0, 5.0
неосведомленность, @default_class, 0.0, 8.0, 8.0
гугл, @default_class, 0.0, 26.0, 18.0
молчок, @default_class, 0.0, 14.0, 6.0
несущественный, @default_class, 0.0, 22.0, 15.0
тьфу, @default_class, 0.0, 52.0, 21.0
выговаривать, @default_class, 0.0, 14.0, 3.0
тетя, @default_class, 0.0, 45.0, 17.0
найм, @default_class, 0.0, 4.0, 4.0
петровский, @default_class, 0.0, 9.0, 5.0
жестоко, @default_class, 0.0, 8.0, 6.0
кбк, @default_class, 0.0, 24.0, 6.0
минувший, @default_class, 0.0, 14.0, 14.0
тревожный, @default_class, -0.375, 15.0, 15.0
катастрофический, @default_class, -0.625, 7.0, 6.0
мучительно, @default_class, 0.0, 7.0, 7.0
элитный, @default_class, 0.0, 3.0, 3.0
хкб, @default_class, 0.0, 4.0, 3.0
автомашина, @default_class, 0.0, 9.0, 6.0
наследственный, @default_class, 0.0, 10.0, 10.0
аврора, @default_class, 0.0, 8.0, 7.0
кассирша, @default_class, 0.0, 45.0, 22.0
страшновато, @default_class, 0.0, 2.0, 2.0
шквал, @default_class, 0.166666671634, 13.0, 6.0
санкционировать, @default_class, 0.0, 29.0, 10.0
стационарный_телефон, @default_class, 0.0, 5.0, 3.0
исчисляться, @default_class, 0.0, 57.0, 12.0
лицезреть, @default_class, 0.0, 10.0, 6.0
мособлбанк, @default_class, 0.0, 1.0, 1.0
недвусмысленный, @default_class, -0.166666671634, 13.0, 11.0
